TestIncome,TestLoss,TestMAE,R2,city,split,zero_home,zero_visit,zero_person
random,0.6977637410163879,0.6526978015899658,0.3004019856452942,hongkong,random,False,True,True
1,0.4078039526939392,0.4770173728466034,0.5944294929504395,hongkong,4,True,False,True
2,0.3955783247947693,0.4691447019577026,0.5995687246322632,hongkong,4,True,False,True
3,0.4107139110565185,0.4713461697101593,0.5899606347084045,hongkong,4,True,False,True
random,0.3635934591293335,0.4413241147994995,0.6349980235099792,hongkong,random,False,False,True
random,0.4726653695106506,0.5095394253730774,0.5266674757003784,chicago,random,False,True,True
2,0.2076286673545837,0.3372251093387604,0.7819073796272278,london,1,False,False,True
3,0.2328090220689773,0.3570283353328705,0.773509681224823,london,1,False,False,True
4,0.2348231673240661,0.3598467111587524,0.7725425362586975,london,1,False,False,True
random,0.1877585649490356,0.3273060321807861,0.8129925727844238,boston,random,False,False,False
1,0.4208658337593078,0.4835664927959442,0.5140519738197327,chicago,2,False,True,True
3,0.5195664167404175,0.5113043785095215,0.480827659368515,chicago,2,False,True,True
4,0.6493878364562988,0.5776553153991699,0.4085294604301452,chicago,2,False,True,True
1,0.3960103988647461,0.4691851437091827,0.6060298085212708,hongkong,4,False,False,False
2,0.3831941485404968,0.4581238925457001,0.6120951175689697,hongkong,4,False,False,False
3,0.3958733975887298,0.4576808214187622,0.6047408580780029,hongkong,4,False,False,False
2,1.0826084613800049,0.8206356167793274,-0.1410465836524963,london,1,True,True,False
3,1.2110759019851685,0.8716640472412109,-0.1779600232839584,london,1,True,True,False
4,1.3463033437728882,0.9338585734367372,-0.2952413558959961,london,1,True,True,False
random,0.1862898916006088,0.3268915116786957,0.8144534230232239,boston,random,False,False,True
random,0.2212493866682052,0.3516230583190918,0.7782847881317139,saopaulo,random,True,False,True
1,0.3919638097286224,0.45875084400177,0.6101672649383545,hongkong,3,True,False,False
2,0.3819209635257721,0.4535498321056366,0.6133764982223511,hongkong,3,True,False,False
4,0.418344110250473,0.4696718156337738,0.5746109485626221,hongkong,3,True,False,False
1,0.3591758906841278,0.439923495054245,0.6427211165428162,hongkong,2,False,False,True
3,0.3784943521022796,0.4415557086467743,0.6220958828926086,hongkong,2,False,False,True
4,0.3946512639522552,0.4527792334556579,0.598816454410553,hongkong,2,False,False,True
1,0.2375321090221405,0.363948255777359,0.7396000623703003,saopaulo,4,False,False,False
2,0.2348577231168747,0.3618143498897552,0.7494272589683533,saopaulo,4,False,False,False
3,0.22482331097126,0.3566945791244507,0.7675949335098267,saopaulo,4,False,False,False
1,0.1973816901445388,0.3255919516086578,0.7757262587547302,chicago,2,True,False,False
3,0.1804703921079635,0.3083753883838653,0.8186739087104797,chicago,2,True,False,False
4,0.2006896287202835,0.3208960294723511,0.8112229108810425,chicago,2,True,False,False
1,0.3929734826087951,0.4577803909778595,0.6092625260353088,hongkong,2,True,False,False
3,0.4121967256069183,0.4667958319187164,0.5884438157081604,hongkong,2,True,False,False
4,0.4336501955986023,0.4784605503082275,0.5589085817337036,hongkong,2,True,False,False
1,0.9496856331825256,0.8265246152877808,-0.0089098615571856,boston,3,True,True,True
2,1.0118985176086426,0.8598793745040894,-0.000536183535587,boston,3,True,True,True
4,1.014936089515686,0.8605932593345642,-0.0210040546953678,boston,3,True,True,True
random,0.5503444075584412,0.5673484206199646,0.4487960040569305,saopaulo,random,False,True,False
random,0.2044576108455658,0.3337681889533996,0.7982752323150635,london,random,True,False,False
2,0.2415027916431427,0.3602733016014099,0.7615599632263184,boston,1,False,False,True
3,0.2887089550495147,0.3874518871307373,0.7153930068016052,boston,1,False,False,True
4,0.3114733099937439,0.4003319144248962,0.6848189830780029,boston,1,False,False,True
2,0.6244460344314575,0.6051204204559326,0.3303903937339782,saopaulo,1,False,True,True
3,0.622879683971405,0.6011897921562195,0.3563592135906219,saopaulo,1,False,True,True
4,0.6099205017089844,0.5941608548164368,0.3244019150733948,saopaulo,1,False,True,True
random,0.559013843536377,0.5597510933876038,0.448811411857605,london,random,False,True,True
1,1.381913423538208,0.9878433346748352,-0.5488641262054443,saopaulo,4,True,True,True
2,1.283453345298767,0.9468470215797424,-0.3791619539260864,saopaulo,4,True,True,True
3,1.1142078638076782,0.8731837272644043,-0.1530519276857376,saopaulo,4,True,True,True
1,0.6232408285140991,0.6158209443092346,0.306397408246994,saopaulo,3,False,True,True
2,0.6192855834960938,0.6118634343147278,0.3355230093002319,saopaulo,3,False,True,True
4,0.550825834274292,0.5665222406387329,0.3903781473636627,saopaulo,3,False,True,True
